EmployeeID,FirstName,LastName,Gender,Age,BusinessTravel,Department,DistanceFromHome (KM),State,Ethnicity,Education,EducationField,JobRole,MaritalStatus,Salary,StockOptionLevel,OverTime,HireDate,Attrition,YearsAtCompany,YearsInMostRecentRole,YearsSinceLastPromotion,YearsWithCurrManager,ExperienceLevel,Salary_Capped,ReviewDate,EnvironmentSatisfaction,JobSatisfaction,RelationshipSatisfaction,TrainingOpportunitiesWithinYear,TrainingOpportunitiesTaken,WorkLifeBalance,SelfRating,ManagerRating,ReviewYear,RatingGap,YearWeight,X_WorkLifeBalance,X_EnvironmentSatisfaction,X_JobSatisfaction,X_RelationshipSatisfaction,X_TrainingOpportunitiesTaken,X_EngagementRate,T_JobSatisfaction,T_WorkLifeBalance,T_ManagerRating,Experience_SEM
005C-E0FB,Fin,O'Halleghane,Non-Binary,24,Frequent Traveller,Sales,17,CA,White,Masters,Marketing,Sales Executive,Married,56155,1,No,2017-08-26,No,5,2,2,0,Mid,56155.0,2022-06-17,3,4,5,3,0,4,4,4,2022,0,10,3.740740740740741,3.3333333333333335,3.7037037037037037,4.111111111111111,0.9259259259259259,3.162962962962963,0.49999999999999983,0.9999999999999993,0.49999999999999983,3.162962962962963
00A3-2445,Wyatt,Ziehm,Male,30,Some Travel,Technology,6,CA,Black,High School,Computer Science,Machine Learning Engineer,Married,126238,0,No,2012-03-08,No,10,3,6,6,Mid,126238.0,2022-06-18,4,5,5,1,2,4,4,4,2022,0,10,3.730769230769231,4.134615384615385,3.576923076923077,3.5,0.7307692307692307,3.1346153846153846,0.09523809523809526,-0.023809523809523805,0.03571428571428574,3.1346153846153846
00B0-F199,Trueman,Jirasek,Male,23,Some Travel,Sales,35,CA,White,No Formal Qualifications,Marketing,Sales Executive,Married,97824,1,Yes,2020-03-16,Yes,1,0,1,0,Junior,97824.0,2022-05-20,1,3,4,3,2,2,4,4,2022,0,10,3.4074074074074074,3.425925925925926,3.4074074074074074,3.3703703703703702,1.7777777777777777,3.077777777777778,-0.03333333333333331,0.06666666666666665,0.10000000000000002,3.077777777777778
00D4-DD53,Joyce,Goor,Female,30,Frequent Traveller,Technology,44,CA,Black,No Formal Qualifications,Computer Science,Software Engineer,Single,68508,0,Yes,2012-01-28,Yes,5,4,4,4,Mid,68508.0,2022-02-27,3,4,5,3,0,3,4,4,2022,0,10,3.3454545454545452,4.2,3.8181818181818183,4.090909090909091,0.6909090909090909,3.229090909090909,-0.05454545454545456,-0.16969696969696976,0.10303030303030304,3.229090909090909
0145-DBFC,Keelia,Studde,Female,34,No Travel,Technology,8,CA,Asian,Masters,Information Systems,Data Scientist,Single,104268,0,No,2014-02-10,No,8,7,7,7,Senior,104268.0,2020-11-18,3,5,2,3,1,2,5,4,2020,-1,8,2.696969696969697,4.2727272727272725,4.484848484848484,3.1818181818181817,0.7272727272727273,3.0727272727272723,0.2857142857142857,-0.2571428571428573,0.08571428571428566,3.0727272727272723
0172-B5D2,Ketti,Keighley,Female,27,Some Travel,Technology,28,CA,White,Masters,Computer Science,Machine Learning Engineer,Married,93291,0,No,2020-09-11,No,2,1,2,1,Junior,93291.0,2022-08-11,3,2,4,3,3,4,4,3,2022,-1,10,4.0,3.0,2.0,4.0,3.0,3.2,0.0,0.0,0.0,3.2
017D-0B97,Maison,Werndley,Male,20,Some Travel,Sales,39,CA,White,High School,Technical Degree,Sales Representative,Married,22558,1,Yes,2020-03-30,No,2,0,1,1,Junior,22558.0,2022-10-09,3,4,3,2,0,4,3,2,2022,-1,10,4.0,3.0,4.0,3.0,0.0,2.8,0.0,0.0,0.0,2.8
0210-E0D8,Yankee,Charteris,Male,36,Some Travel,Sales,7,NY,White,Bachelors,Technical Degree,Sales Executive,Single,243989,0,Yes,2020-07-18,Yes,1,0,1,1,Junior,243989.0,2022-04-01,3,3,3,3,3,5,3,3,2022,0,10,3.6296296296296298,3.185185185185185,3.314814814814815,3.1296296296296298,1.2592592592592593,2.903703703703704,-0.016666666666666666,0.26666666666666666,-0.016666666666666673,2.903703703703704
022A-0219,Francine,Fernez,Female,32,Frequent Traveller,Technology,14,IL,Native American,Bachelors,Business Studies,Software Engineer,Married,86639,0,No,2012-05-21,No,10,3,9,5,Mid,86639.0,2022-10-07,5,3,2,3,1,5,3,3,2022,0,10,3.326923076923077,4.019230769230769,3.4423076923076925,3.230769230769231,1.3461538461538463,3.0730769230769233,-0.22619047619047625,-0.05952380952380955,-0.1785714285714286,3.0730769230769233
0240-4D29,Kaylil,Blenkiron,Non-Binary,35,Some Travel,Technology,31,CA,Asian,Masters,Computer Science,Software Engineer,Single,77269,0,No,2014-09-13,No,8,8,8,6,Senior,77269.0,2022-11-01,4,4,2,3,1,3,5,4,2022,-1,10,3.3777777777777778,3.8,4.5777777777777775,3.911111111111111,0.6666666666666666,3.2666666666666666,-0.2285714285714286,0.11428571428571434,0.08571428571428573,3.2666666666666666
